"date",total
"2009-12-02",162.82
"2009-12-03",162.82
"2009-12-04",162.82
"2009-12-05",162.82
"2009-12-06",162.82
"2009-12-07",164.46
"2009-12-08",166.13
"2009-12-09",166.13
"2009-12-10",166.13
"2009-12-11",166.13
"2009-12-12",166.13
"2009-12-13",166.13
"2009-12-14",166.13
"2009-12-15",167.82
"2009-12-16",167.82
"2009-12-17",167.82
"2009-12-18",167.82
"2009-12-19",167.82
"2009-12-20",167.82
"2009-12-21",167.82
"2009-12-22",167.82
"2009-12-23",167.82
"2009-12-24",167.82
"2009-12-25",167.82
"2009-12-26",167.82
"2009-12-27",167.82
"2009-12-28",167.82
"2009-12-29",167.82
"2009-12-30",167.82
"2009-12-31",167.82
"2010-01-01",167.82
"2010-01-02",167.82
"2010-01-03",167.82
"2010-01-04",169.48
"2010-01-05",169.48
"2010-01-06",171.09
"2010-01-07",171.09
"2010-01-08",171.09
"2010-01-09",171.09
"2010-01-10",171.09
"2010-01-11",171.09
"2010-01-12",172.77
"2010-01-13",172.77
"2010-01-14",172.77
"2010-01-15",172.77
"2010-01-16",172.77
"2010-01-17",172.77
"2010-01-18",174.40
"2010-01-19",174.40
"2010-01-20",176.05
"2010-01-21",176.05
"2010-01-22",176.05
"2010-01-23",176.05
"2010-01-24",176.05
"2010-01-25",176.05
"2010-01-26",177.74
"2010-01-27",177.74
"2010-01-28",177.74
"2010-01-29",177.74
"2010-01-30",177.74
"2010-01-31",177.74
"2010-02-01",177.74
"2010-02-02",177.74
"2010-02-03",177.74
"2010-02-04",177.74
"2010-02-05",177.74
"2010-02-06",177.74
"2010-02-07",177.74
"2010-02-08",177.74
"2010-02-09",177.74
"2010-02-10",177.74
"2010-02-11",177.74
"2010-02-12",177.74
"2010-02-13",177.74
"2010-02-14",177.74
"2010-02-15",177.74
"2010-02-16",177.74
"2010-02-17",177.74
"2010-02-18",177.74
"2010-02-19",177.74
"2010-02-20",177.74
"2010-02-21",177.74
"2010-02-22",177.74
"2010-02-23",177.74
"2010-02-24",177.74
"2010-02-25",177.74
"2010-02-26",177.74
"2010-02-27",177.74
"2010-02-28",177.74
"2010-03-01",177.74
"2010-03-02",177.74
"2010-03-03",177.74
"2010-03-04",177.74
"2010-03-05",177.74
"2010-03-06",177.74
"2010-03-07",177.74
"2010-03-08",177.74
"2010-03-09",177.74
"2010-03-10",177.74
"2010-03-11",177.74
"2010-03-12",177.74
"2010-03-13",177.74
"2010-03-14",177.74
"2010-03-15",177.74
"2010-03-16",177.74
"2010-03-17",177.74
"2010-03-18",177.74
"2010-03-19",177.74
"2010-03-20",177.74
"2010-03-21",177.74
"2010-03-22",177.74
"2010-03-23",177.74
"2010-03-24",177.74
"2010-03-25",177.74
"2010-03-26",177.74
"2010-03-27",177.74
"2010-03-28",177.74
"2010-03-29",177.74
"2010-03-30",177.74
"2010-03-31",177.74
"2010-04-01",177.74
"2010-04-02",177.74
"2010-04-03",177.74
"2010-04-04",177.74
"2010-04-05",177.74
"2010-04-06",177.74
"2010-04-07",177.74
"2010-04-08",177.74
"2010-04-09",177.74
"2010-04-10",177.74
"2010-04-11",177.74
"2010-04-12",177.74
"2010-04-13",177.74
"2010-04-14",177.74
"2010-04-15",177.74
"2010-04-16",177.74
"2010-04-17",177.74
"2010-04-18",177.74
"2010-04-19",177.74
"2010-04-20",177.74
"2010-04-21",177.74
"2010-04-22",177.74
"2010-04-23",177.74
"2010-04-24",177.74
"2010-04-25",177.74
"2010-04-26",177.74
"2010-04-27",177.74
"2010-04-28",177.74
"2010-04-29",177.74
"2010-04-30",177.74
"2010-05-01",177.74
"2010-05-02",177.74
"2010-05-03",177.74
"2010-05-04",177.74
"2010-05-05",177.74
"2010-05-06",177.74
"2010-05-07",177.74
"2010-05-08",177.74
"2010-05-09",177.74
"2010-05-10",177.74
"2010-05-11",177.74
"2010-05-12",177.74
"2010-05-13",177.74
"2010-05-14",177.74
"2010-05-15",177.74
"2010-05-16",177.74
"2010-05-17",177.74
"2010-05-18",177.74
"2010-05-19",177.74
"2010-05-20",177.74
"2010-05-21",177.74
"2010-05-22",177.74
"2010-05-23",177.74
"2010-05-24",177.74
"2010-05-25",177.74
"2010-05-26",177.74
"2010-05-27",177.74
"2010-05-28",177.74
"2010-05-29",177.74
"2010-05-30",177.74
"2010-05-31",177.74
"2010-06-01",177.74
"2010-06-02",177.74
"2010-06-03",177.74
"2010-06-04",177.74
"2010-06-05",177.74
"2010-06-06",177.74
"2010-06-07",177.74
"2010-06-08",177.74
"2010-06-09",177.74
"2010-06-10",177.74
"2010-06-11",177.74
"2010-06-12",177.74
"2010-06-13",177.74
"2010-06-14",177.74
"2010-06-15",177.74
"2010-06-16",177.74
"2010-06-17",177.74
"2010-06-18",177.74
"2010-06-19",177.74
"2010-06-20",177.74
"2010-06-21",177.74
"2010-06-22",177.74
"2010-06-23",177.74
"2010-06-24",177.74
"2010-06-25",177.74
"2010-06-26",177.74
"2010-06-27",177.74
"2010-06-28",177.74
"2010-06-29",177.74
"2010-06-30",177.74
"2010-07-01",177.74
"2010-07-02",177.74
"2010-07-03",177.74
"2010-07-04",177.74
"2010-07-05",177.74
"2010-07-06",177.74
"2010-07-07",177.74
"2010-07-08",177.74
"2010-07-09",177.74
"2010-07-10",177.74
"2010-07-11",177.74
"2010-07-12",177.74
"2010-07-13",177.74
"2010-07-14",177.74
"2010-07-15",177.74
"2010-07-16",177.74
"2010-07-17",177.74
"2010-07-18",177.74
"2010-07-19",177.74
"2010-07-20",177.74
"2010-07-21",177.74
"2010-07-22",177.74
"2010-07-23",177.74
"2010-07-24",177.74
"2010-07-25",177.74
"2010-07-26",177.74
"2010-07-27",177.74
"2010-07-28",177.74
"2010-07-29",177.74
"2010-07-30",177.74
"2010-07-31",177.74
"2010-08-01",177.74
"2010-08-02",177.74
"2010-08-03",177.74
"2010-08-04",177.74
"2010-08-05",177.74
"2010-08-06",177.74
"2010-08-07",177.74
"2010-08-08",177.74
"2010-08-09",177.74
"2010-08-10",177.74
"2010-08-11",177.74
"2010-08-12",177.74
"2010-08-13",177.74
"2010-08-14",177.74
"2010-08-15",177.74
"2010-08-16",177.74
"2010-08-17",177.74
"2010-08-18",177.74
"2010-08-19",177.74
"2010-08-20",177.74
"2010-08-21",177.74
"2010-08-22",177.74
"2010-08-23",177.74
"2010-08-24",177.74
"2010-08-25",177.74
"2010-08-26",177.74
"2010-08-27",177.74
"2010-08-28",177.74
"2010-08-29",177.74
"2010-08-30",177.74
"2010-08-31",177.74
"2010-09-01",177.74
"2010-09-02",177.74
"2010-09-03",177.74
"2010-09-04",177.74
"2010-09-05",177.74
"2010-09-06",177.74
"2010-09-07",177.74
"2010-09-08",177.74
"2010-09-09",177.74
"2010-09-10",177.74
"2010-09-11",177.74
"2010-09-12",177.74
"2010-09-13",177.74
"2010-09-14",177.74
"2010-09-15",177.74
"2010-09-16",177.74
"2010-09-17",177.74
"2010-09-18",177.74
"2010-09-19",177.74
"2010-09-20",177.74
"2010-09-21",177.74
"2010-09-22",177.74
"2010-09-23",177.74
"2010-09-24",177.74
"2010-09-25",177.74
"2010-09-26",177.74
"2010-09-27",177.74
"2010-09-28",177.74
"2010-09-29",177.74
"2010-09-30",177.74
"2010-10-01",177.74
"2010-10-02",177.74
"2010-10-03",177.74
"2010-10-04",177.74
"2010-10-05",177.74
"2010-10-06",177.74
"2010-10-07",177.74
"2010-10-08",177.74
"2010-10-09",177.74
"2010-10-10",177.74
"2010-10-11",177.74
"2010-10-12",177.74
"2010-10-13",177.74
"2010-10-14",177.74
"2010-10-15",177.74
"2010-10-16",177.74
"2010-10-17",177.74
"2010-10-18",177.74
"2010-10-19",177.74
"2010-10-20",177.74
"2010-10-21",177.74
"2010-10-22",177.74
"2010-10-23",177.74
"2010-10-24",177.74
"2010-10-25",177.74
"2010-10-26",177.74
"2010-10-27",177.74
"2010-10-28",177.74
"2010-10-29",177.74
"2010-10-30",177.74
"2010-10-31",177.74
"2010-11-01",177.74
"2010-11-02",177.74
"2010-11-03",177.74
"2010-11-04",177.74
